ENFB|STATFJORD B|61.206|1.829|142
ENRY|RYGGE|59.383|10.783|53
ESTL|LJUNGBYHED|56.083|13.2|43
ESNQ|KIRUNA|67.817|20.333|447
ESNG|GALLIVARE|67.15|20.65|360
ESPA|KALLAX/LULEA (AFB)|65.55|22.133|17
ESNN|SUNDSVALL/HARNOSAND|62.533|17.45|4
ESCL|SODERHAMN (SWE-AFB)|61.267|17.1|26
ESSQ|KARLSTAD|59.367|13.467|46
ESCD|VASTERAS/HASSLO AFB|59.583|16.633|6
ESCM|UPPSALA|59.883|17.6|21
ESSB|STOCKHOLM/BROMMA|59.35|17.95|15
ESIB|SATENAS (SWE-AFB)|58.433|12.7|54
ESSJ|JONKOPING|57.767|14.083|226
ESSV|VISBY|57.667|18.35|51
ESMS|MALMO/STURUP|55.55|13.367|72
ESUT|HEMAVAN|65.8|15.083|463
ESPE|VIDSEL (SWE-AFB)|65.867|20.133|180
ESUD|STORUMAN|64.95|17.7|279
ESPD|GUNNARN|65.016|17.683|283
ESNJ|JOKKMOKK (SWE-AFB)|66.633|19.65|264
ESCK|NORRKOPING/BRAVALLA|58.617|16.117|27
ESCJ|NYKOPING/SKAVST AFB|58.783|16.917|42
ESPE|VIDSEL|65.883|20.15|182
ESMV|HAGSHULT (SWE-AFB)|57.3|14.133|169
ESUF|FALLFORS|65.132|20.783|190
ESDA|LJUNGBYHED(SWE-AFB)|56.083|13.233|43
ESDF|RONNEBY (SWE-AFB)|56.267|15.283|58
ESPJ|HEDEN (SWE-AFB)|65.867|21.45|36
ESPA|LULEA-KALLAX|65.55|22.133|17
ESNZ|OSTERSUND FROSON|63.2|14.5|359
ESNL|LYCKSELE|64.55|18.717|215
ESNK|KRAMFORS (SWE-AFB)|63.05|17.767|19
ESNU|UMEA|63.8|20.283|8
ESNY|SODERHAMN FLYGPLATS|61.25|17.1|27
ESNS|SKELLEFTEA|64.599|21.067|44
ESGI|VISINGSO|58.1|14.4|110
ESNS|SKELLEFTEA AIRPORT|64.633|21.083|46
ESNO|ORNSKOLDSVIK ARPT|63.4|18.967|107
ESNN|SUNDSVALL HARNOSAND|62.517|17.45|8
